,Date,open,high,low,close,volume
0,2021-01-04,375.31,375.45,364.82,368.79,110210810
1,2021-01-05,368.1,372.5,368.05,371.33,66426229
2,2021-01-06,369.71,376.98,369.12,373.55,107997675
3,2021-01-07,376.1,379.9,375.91,379.1,68766812
4,2021-01-08,380.59,381.49,377.1,381.26,71677208
5,2021-01-11,377.85,380.58,377.7189,378.69,51176719
6,2021-01-12,378.89,379.86,376.36,378.77,52547716
7,2021-01-13,378.69,380.86,377.85,379.79,45303619
8,2021-01-14,380.59,381.13,378.1,378.46,49989113
9,2021-01-15,376.72,377.58,373.7,375.7,107159962
10,2021-01-19,378.34,379.23,376.75,378.65,51233300
11,2021-01-20,381.11,384.79,380.69,383.89,61836062
12,2021-01-21,384.49,384.95,383.25,384.24,47955809
13,2021-01-22,382.25,384.1256,381.835,382.88,52136931
14,2021-01-25,383.67,384.77,378.46,384.39,70401971
15,2021-01-26,385.41,385.85,383.54,383.79,42665281
16,2021-01-27,380.22,380.32,372.01,374.41,123351078
17,2021-01-28,376.36,381.93,375.89,377.63,94198104
18,2021-01-29,375.63,376.67,368.27,370.07,126765121
19,2021-02-01,373.72,377.34,370.376,376.23,75817597
20,2021-02-02,379.65,383.22,376.3181,381.55,64450662
21,2021-02-03,382.435,383.7,380.48,381.85,52427090
22,2021-02-04,382.96,386.24,381.9655,386.19,47142555
23,2021-02-05,388.2,388.47,386.1444,387.71,48669773
24,2021-02-08,389.27,390.56,388.35,390.51,38365185
25,2021-02-09,389.61,390.89,389.17,390.25,35551059
26,2021-02-10,392.12,392.28,387.5,390.08,59154370
27,2021-02-11,391.24,391.69,388.1,390.71,42913288
28,2021-02-12,389.85,392.9,389.77,392.64,50593270
29,2021-02-16,393.96,394.17,391.53,392.3,50972366
30,2021-02-17,390.42,392.66,389.33,392.39,52806681
31,2021-02-18,389.59,391.515,387.74,390.72,59712773
32,2021-02-19,392.07,392.38,389.55,390.03,83240971
33,2021-02-22,387.06,389.62,386.74,387.03,67414170
34,2021-02-23,384.66,388.945,380.2,387.5,107284127
35,2021-02-24,386.33,392.23,385.27,391.77,72433946
36,2021-02-25,390.41,391.88,380.7789,382.33,146670500
37,2021-02-26,384.35,385.58,378.23,380.36,152701640
38,2021-03-01,385.59,390.92,380.572,389.58,105348798
39,2021-03-02,389.82,390.07,386.0,386.54,79595332
40,2021-03-03,385.79,386.83,381.31,381.42,119940211
41,2021-03-04,381.22,384.0,371.88,376.7,183433020
42,2021-03-05,380.46,384.76,372.64,383.63,152039620
43,2021-03-08,384.66,387.68,381.42,381.72,123149245
44,2021-03-09,385.85,389.91,381.7299,387.17,113633556
45,2021-03-10,389.69,391.4,388.1702,389.58,109899410
46,2021-03-11,392.23,395.65,391.74,393.53,86245040
47,2021-03-12,392.07,394.21,391.2,394.06,64653565
48,2021-03-15,394.33,396.685,392.03,396.41,73592302
49,2021-03-16,397.07,397.83,395.08,395.91,73722506
50,2021-03-17,394.53,398.12,393.3,397.26,97959265
51,2021-03-18,394.475,396.72,390.75,390.20221,115349101
52,2021-03-19,389.88,391.569,387.15,389.48,113624490
53,2021-03-22,390.03,394.07,389.97,392.59,73778646
54,2021-03-23,391.91,393.46,388.66,389.5,90686552
55,2021-03-24,391.0,392.75,387.47,387.52,97588644
56,2021-03-25,385.98,390.55,383.9,389.7,116128622
57,2021-03-26,390.93,396.41,390.29,395.98,114409114
58,2021-03-29,394.4,396.75,392.81,395.78,108107626
59,2021-03-30,394.42,395.45,393.02,394.73,76262249
60,2021-03-31,395.34,398.0,395.31,396.33,112734214
61,2021-04-01,398.4,400.67,398.18,400.61,99682876
62,2021-04-05,403.46,406.94,403.38,406.36,91684764
63,2021-04-06,405.76,407.24,405.4,406.12,62020953
64,2021-04-07,405.94,406.96,405.45,406.59,55836280
65,2021-04-08,407.93,408.58,406.93,408.52,57863114
66,2021-04-09,408.39,411.67,408.26,411.49,61104559
67,2021-04-12,410.85,411.93,410.2,411.64,56704899
68,2021-04-13,411.53,413.529,411.12,412.86,56550988
69,2021-04-14,412.83,413.96,410.87,411.45,61659907
70,2021-04-15,413.74,416.16,413.69,415.87,60229842
71,2021-04-16,417.25,417.91,415.73,417.26,82037278
72,2021-04-19,416.26,416.74,413.79,415.21,78498496
73,2021-04-20,413.91,415.0859,410.59,412.17,81851828
74,2021-04-21,411.51,416.29,411.36,416.07,66792983
75,2021-04-22,415.89,416.78,411.13,412.27,97582788
76,2021-04-23,412.87,418.25,412.79,416.74,73276195
77,2021-04-26,417.44,418.22,416.8111,417.61,52182392
78,2021-04-27,417.93,418.14,416.3,417.52,51303056
79,2021-04-28,417.81,419.01,416.9,417.4,51238854
80,2021-04-29,420.32,420.72,416.44,420.06,78544329
81,2021-04-30,417.63,418.54,416.34,417.3,85527030
82,2021-05-03,419.43,419.84,417.665,418.2,68128289
83,2021-05-04,416.07,416.6,411.67,415.62,101591166
84,2021-05-05,417.38,417.63,414.94,415.75,39960661
85,2021-05-06,415.83,419.21,413.675,419.07,74321368
86,2021-05-07,419.89,422.815,419.16,422.12,67733790
87,2021-05-10,422.5,422.74,417.81,417.94,81852446
88,2021-05-11,413.1,415.27,410.06,414.21,116887975
89,2021-05-12,411.23,412.59,404.0,405.41,134811050
90,2021-05-13,407.07,412.35,407.02,410.28,106393963
91,2021-05-14,413.21,417.49,413.18,416.58,82201629
92,2021-05-17,415.39,416.39,413.36,415.52,65129221
93,2021-05-18,415.8,416.06,411.77,411.94,59810238
94,2021-05-19,406.92,411.05,405.33,410.86,106467052
95,2021-05-20,411.8,416.625,411.67,415.28,78022218
96,2021-05-21,416.87,418.2,414.45,414.94,76578662
97,2021-05-24,417.34,420.32,417.08,419.17,51376702
98,2021-05-25,420.33,420.71,417.62,418.24,57451396
99,2021-05-26,418.87,419.61,417.76,419.07,43088618
100,2021-05-27,420.17,420.72,418.9851,419.29,56707677
101,2021-05-28,420.97,421.25,419.79,420.04,58520164
